cloth_class,product_price,product_name,product_img
洋裝,890,天鵝絨拼接洋裝,http://static.zara.net/photos//2016/I/0/1/p/8476/432/800/2//w/135/8476432800_3_1_1.jpg?timestamp=1478885930624
洋裝,990,閃亮長版洋裝,http://static.zara.net/photos//2016/I/0/1/p/4609/101/303/2//w/135/4609101303_3_1_1.jpg?timestamp=1469109886618
洋裝,990,閃亮長版洋裝,http://static.zara.net/photos//2016/I/0/1/p/4609/101/303/3//w/135/4609101303_3_1_1.jpg?timestamp=1469036989452
洋裝,590,荷葉邊洋裝,http://static.zara.net/photos//2016/I/0/1/p/1165/245/606/2//w/135/1165245606_3_1_1.jpg?timestamp=1473191404563
洋裝,1490,雙面布料洋裝,http://static.zara.net/photos//2016/I/0/1/p/9322/101/800/2//w/135/9322101800_3_1_1.jpg?timestamp=1471598695746
洋裝,590,雙色洋裝,http://static.zara.net/photos//2016/I/0/1/p/5644/220/507/2//w/135/5644220507_3_1_1.jpg?timestamp=1470241613509
洋裝,590,修身短版洋裝,http://static.zara.net/photos//2016/I/0/1/p/5039/251/800/2//w/135/5039251800_3_1_1.jpg?timestamp=1478282660243
洋裝,990,蕾絲短版洋裝,http://static.zara.net/photos//2016/I/0/1/p/5410/233/622/2//w/135/5410233622_3_1_1.jpg?timestamp=1479916411043
洋裝,590,天鵝絨洋裝,http://static.zara.net/photos//2016/I/0/1/p/5410/235/706/2//w/135/5410235706_3_1_1.jpg?timestamp=1477911834096
洋裝,790,挖肩洋裝,http://static.zara.net/photos//2016/I/0/1/p/2298/107/800/2//w/135/2298107800_3_1_1.jpg?timestamp=1474648793373
洋裝,490,加大碼洋裝,http://static.zara.net/photos//2016/I/0/1/p/3431/201/661/2//w/135/3431201661_3_1_1.jpg?timestamp=1469104236219
洋裝,1490,蕾絲中長洋裝,http://static.zara.net/photos//2016/I/0/1/p/2731/253/064/2//w/135/2731253064_3_1_1.jpg?timestamp=1474456126868
洋裝,990,寬擺洋裝,http://static.zara.net/photos//2016/I/0/1/p/7918/684/064/2//w/135/7918684064_3_1_1.jpg?timestamp=1470401431142
洋裝,890,星星印花洋裝,http://static.zara.net/photos//2016/I/0/1/p/9006/151/505/2//w/135/9006151505_3_1_1.jpg?timestamp=1475076856578
洋裝,490,天鵝絨洋裝,http://static.zara.net/photos//2016/I/0/1/p/5584/227/305/2//w/135/5584227305_3_1_1.jpg?timestamp=1473959699366
洋裝,890,運動風短版洋裝,http://static.zara.net/photos//2016/I/0/1/p/5644/251/800/2//w/135/5644251800_3_1_1.jpg?timestamp=1473360814853
洋裝,990,荷葉邊牛仔洋裝,http://static.zara.net/photos//2016/I/0/1/p/5216/048/400/2//w/135/5216048400_3_1_1.jpg?timestamp=1462977727614
洋裝,990,亮片長版洋裝,http://static.zara.net/photos//2016/I/0/1/p/2298/221/942/2//w/135/2298221942_3_1_1.jpg?timestamp=1478285723022
洋裝,990,天鵝絨挖肩洋裝,http://static.zara.net/photos//2016/I/0/1/p/0787/279/800/2//w/135/0787279800_3_1_1.jpg?timestamp=1481126111526
洋裝,990,花卉印花長版洋裝,http://static.zara.net/photos//2016/I/0/1/p/3198/255/800/2//w/135/3198255800_3_1_1.jpg?timestamp=1477414742631
洋裝,1190,薄紗針織洋裝,http://static.zara.net/photos//2016/I/0/1/p/2488/110/800/2//w/135/2488110800_3_1_1.jpg?timestamp=1480507309371
洋裝,990,花卉補丁荷葉邊洋裝,http://static.zara.net/photos//2016/I/0/1/p/9006/126/800/2//w/135/9006126800_3_1_1.jpg?timestamp=1478105804839
